Time,Distance,Engine,Lateral_acc,Longitudinal_a,GPS_Speed,GPS_LatAcc,GPS_LonAcc,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,
0.990,0.000,2346.199951,-0.940883,0.483805,0.149500,0.000000,0.000000,76.112122,-0.022096,-5.843431778342,-35.195871033276,
1.000,0.000,2342.199951,-0.875446,0.500653,0.147000,0.000000,0.000000,76.112122,-0.022096,-5.843431820068,-35.195871041680,
1.010,0.000,2337.899902,-0.842744,0.424841,0.144500,0.000000,0.000000,76.112122,-0.022096,-5.843431861795,-35.195871050083,
1.020,0.000,2332.399902,-0.837501,0.312901,0.142000,0.000000,0.000000,76.112122,-0.022096,-5.843431903521,-35.195871058487,
1.030,0.000,2326.699951,-0.868010,0.263896,0.139500,0.000000,0.000000,76.112122,-0.022096,-5.843431945247,-35.195871066890,
1.040,0.000,2320.199951,-0.946021,0.301500,0.137000,0.000000,0.000000,76.112122,-0.022096,-5.843431986973,-35.195871075294,
1.050,0.000,2315.000000,-1.031148,0.369064,0.134500,0.000000,0.000000,76.112122,-0.022096,-5.843432028700,-35.195871083698,
1.060,0.000,2315.000000,-1.050423,0.415891,0.132000,0.000000,0.000000,76.112122,-0.022096,-5.843432070426,-35.195871092101,
1.070,0.000,2313.399902,-0.973283,0.435725,0.129500,0.000000,0.000000,76.112122,-0.022096,-5.843432112152,-35.195871100505,
1.080,0.000,2305.399902,-0.862881,0.436956,0.127000,0.000000,0.000000,76.112122,-0.022096,-5.843432154875,-35.195871109094,
1.090,0.000,2297.399902,-0.809267,0.411592,0.124500,0.000000,0.000000,76.112122,-0.022096,-5.843432198025,-35.195871117763,
1.100,0.000,2289.399902,-0.827226,0.363017,0.122000,0.000000,0.000000,76.112122,-0.022096,-5.843432241174,-35.195871126432,
1.110,0.000,2281.500000,-0.880881,0.317206,0.119500,0.000000,0.000000,76.112122,-0.022096,-5.843432284324,-35.195871135101,
1.120,0.000,2274.000000,-0.940683,0.301518,0.117000,0.000000,0.000000,76.112122,-0.022096,-5.843432327474,-35.195871143770,
1.130,0.000,2268.000000,-0.985292,0.337619,0.114500,0.000000,0.000000,76.112122,-0.022096,-5.843432370623,-35.195871152439,
1.140,0.000,2268.000000,-0.989686,0.406772,0.112000,0.000000,0.000000,76.112122,-0.022096,-5.843432413773,-35.195871161108,
1.150,0.000,2266.600098,-0.932121,0.456342,0.109500,0.000000,0.000000,76.112122,-0.022096,-5.843432456923,-35.195871169777,
1.160,0.000,2259.600098,-0.843963,0.454781,0.107000,0.000000,0.000000,76.112122,-0.022096,-5.843432500072,-35.195871178446,
1.170,0.000,2252.600098,-0.794104,0.396870,0.104500,0.000000,0.000000,76.112122,-0.022096,-5.843432543222,-35.195871187116,
1.180,0.000,2245.600098,-0.809443,0.316971,0.102000,0.000000,0.000000,76.112122,-0.022096,-5.843432586372,-35.195871195785,
1.190,0.000,2240.000000,-0.878882,0.279770,0.100800,0.000000,0.000000,76.112122,-0.022096,-5.843432629521,-35.195871204454,
1.200,0.000,2240.000000,-0.973075,0.306845,0.104800,0.000000,0.000000,76.112122,-0.022096,-5.843432672671,-35.195871213123,
1.210,0.000,2238.600098,-1.038972,0.362693,0.108800,0.000000,0.000000,76.112122,-0.022096,-5.843432715821,-35.195871221792,
1.220,0.000,2231.600098,-1.030816,0.406478,0.112800,0.000000,0.000000,76.112122,-0.022096,-5.843432758970,-35.195871230461,
1.230,0.000,2224.800049,-0.947275,0.435095,0.116800,0.000000,0.000000,76.112122,-0.022096,-5.843432802120,-35.195871239130,
1.240,0.000,2218.800049,-0.854124,0.454810,0.120800,0.000000,0.000000,76.112122,-0.022096,-5.843432845270,-35.195871247799,
1.250,0.000,2212.800049,-0.822009,0.430200,0.124800,0.000000,0.000000,76.112122,-0.022096,-5.843432888419,-35.195871256468,
1.260,0.000,2206.800049,-0.842127,0.351084,0.128800,0.000000,0.000000,76.112122,-0.022096,-5.843432932010,-35.195871264483,
1.270,0.000,2202.000000,-0.882915,0.279913,0.132800,0.000000,0.000000,76.112122,-0.022096,-5.843432979564,-35.195871266617,
1.280,0.000,2202.000000,-0.942143,0.274485,0.136800,0.000000,0.000000,76.112122,-0.022096,-5.843433027119,-35.195871268750,
1.290,0.000,2200.699951,-1.000982,0.342264,0.140800,0.000000,0.000000,76.112122,-0.022096,-5.843433074674,-35.195871270883,
1.300,0.000,2194.199951,-1.013312,0.433513,0.144800,0.000000,0.000000,76.112122,-0.022096,-5.843433122229,-35.195871273017,
1.310,0.000,2187.699951,-0.950827,0.478119,0.148800,0.000000,0.000000,76.112122,-0.022096,-5.843433169784,-35.195871275150,
1.320,0.000,2181.199951,-0.856858,0.463641,0.152800,0.000000,0.000000,76.112122,-0.022096,-5.843433217339,-35.195871277283,
1.330,0.000,2173.199951,-0.805321,0.414138,0.156800,0.000000,0.000000,76.112122,-0.022096,-5.843433264894,-35.195871279417,
1.340,0.000,2159.199951,-0.804752,0.350280,0.160800,0.000000,0.000000,76.112122,-0.022096,-5.843433312448,-35.195871281550,
1.350,0.000,2148.000000,-0.837620,0.299945,0.164800,0.000000,0.000000,76.112122,-0.022096,-5.843433360003,-35.195871283684,
1.360,0.000,2148.000000,-0.898114,0.280919,0.168800,0.000000,0.000000,76.112122,-0.022096,-5.843433407558,-35.195871285817,
1.370,0.000,2145.199951,-0.949053,0.309987,0.172800,0.000000,0.000000,76.112122,-0.022096,-5.843433455113,-35.195871287950,
1.380,0.000,2131.199951,-0.970003,0.382220,0.176800,0.000000,0.000000,76.112122,-0.022096,-5.843433502668,-35.195871290084,
1.390,0.000,2121.800049,-0.970183,0.424410,0.180800,0.000000,0.000000,76.112122,-0.022096,-5.843433536474,-35.195871284772,
1.400,0.000,2130.800049,-0.932462,0.397847,0.184800,0.000000,0.000000,76.112122,-0.022096,-5.843433561114,-35.195871274497,
1.410,0.000,2138.000000,-0.877426,0.365555,0.188800,0.000000,0.000000,76.112122,-0.022096,-5.843433585754,-35.195871264222,
1.420,0.000,2138.000000,-0.867127,0.373834,0.192800,0.000000,0.000000,76.112122,-0.022096,-5.843433610395,-35.195871253946,
1.430,0.000,2142.800049,-0.880061,0.396321,0.196800,0.000000,0.000000,76.112122,-0.022096,-5.843433635035,-35.195871243671,
1.440,0.000,2166.800049,-0.864302,0.390176,0.200800,0.000000,0.000000,76.112122,-0.022096,-5.843433659675,-35.195871233396,
1.450,0.000,2195.500000,-0.859687,0.349620,0.204800,0.000000,0.000000,76.112122,-0.022096,-5.843433684315,-35.195871223121,
1.460,0.000,2243.000000,-0.896078,0.344706,0.208800,0.000000,0.000000,76.112122,-0.022096,-5.843433708955,-35.195871212846,
1.470,0.000,2292.800049,-0.912203,0.436675,0.212800,0.000000,0.000000,76.112122,-0.022096,-5.843433733596,-35.195871202571,
1.480,0.000,2351.800049,-0.887585,0.526827,0.216800,0.000000,0.000000,76.112122,-0.022096,-5.843433758236,-35.195871192296,
1.490,0.000,2409.800049,-0.877043,0.461021,0.220800,0.000000,0.000000,76.112122,-0.022096,-5.843433782876,-35.195871182021,
1.500,0.000,2463.800049,-0.883934,0.301835,0.224800,0.000000,0.000000,76.112122,-0.022096,-5.843433807516,-35.195871171746,
1.510,0.000,2516.899902,-0.866776,0.270802,0.228800,0.000000,0.000000,76.112122,-0.022096,-5.843433829143,-35.195871158253,
1.520,0.000,2566.399902,-0.821904,0.403812,0.232800,0.000000,0.000000,76.112122,-0.022096,-5.843433823646,-35.195871115808,
1.530,0.000,2615.000000,-0.768886,0.506979,0.236800,0.000000,0.000000,76.112122,-0.022096,-5.843433818149,-35.195871073362,
